ID,Conteo,Conteo2,Asesor,No. Póliza,Contratante,Correo,Producto,Estatus,Forma de pago,Cantidad de pagos,Fecha de emisión,Tipo,Tipo de pago,Prima anual,Moneda,Año de vida,% Comisión,$ Comisión
1,1,1,XXXXXX - Nombre del Asesor,VI0002909881,CLIENTE PÓLIZA SIMPLE,correo@dominio.com,IMAGINA SER 10_20P - UDI,En Vigor,A,1,Mon May 05 2025 00:00:36 GMT-0600 (hora estándar central),S,Modo Directo,3250,UDI,1,0.3,8316.75
2,1,2,XXXXXX - Nombre del Asesor,VI0002909882,CLIENTE PÓLIZA SIMPLE,correo@dominio.com,VIDA MUJER - UDI,En Vigor,S,6,Tue Jun 10 2025 00:00:36 GMT-0600 (hora estándar central),D,Modo Directo,2450,UDI,1,0.4,1393.2333333333333
3,1,3,XXXXXX - Nombre del Asesor,VI0002909883,CLIENTE PÓLIZA SIMPLE,correo@dominio.com,ORVI 99 - 10P USD,En Vigor,T,4,Sat Jul 12 2025 00:00:36 GMT-0600 (hora estándar central),T,Cargo Automático,150,USD,1,0.44,308.50545
4,1,1,XXXXXX - Nombre del Asesor,VI0002909884,CLIENTE PÓLIZA SIMPLE,correo@dominio.com,STAR DOTAL 10P - UDI,En Vigor,M,12,Wed Aug 27 2025 00:00:36 GMT-0600 (hora estándar central),S,Cargo Automático,3240,UDI,1,0.3,690.93
5,,,XXXXXX - Nombre del Asesor,VI0002909885,CLIENTE PÓLIZA SIMPLE,correo@dominio.com,ORVI 99 - TP  UDI,Anulada,,,Wed Jan 01 2025 00:00:36 GMT-0600 (hora estándar central),,Modo Directo,,,1,,
6,0.5,0.5,XXXXXX - Nombre del Asesor,GM0002909886,CLIENTE PÓLIZA SIMPLE,correo@dominio.com,PLENO,En Vigor,M,12,Mon Mar 03 2025 00:00:36 GMT-0600 (hora estándar central),S,Cargo Automático,26500,MXN,1,0.19,419.58333333333337
7,,,XXXXXX - Nombre del Asesor,GM0002909887,CLIENTE PÓLIZA SIMPLE,correo@dominio.com,PRACTICO TOTAL,Anulada,M,12,,,,,,,,
8,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
,3.5,6.5,,,,,,,,,,,,,,,,
